tu_id	speaker	start	end	duration	text
54	BO026	119.530	121.357	1.827	 avevamo parl~ {P} anna giulia
55	BO020	121.456	121.765	0.309	 sì.
56	BO026	121.765	123.989	2.224	 avevamo parlato della tesi vero?
57	BO020	124.088	127.836	3.748	 sì avevamo parlato della te:si e::h=m:h
58	BO020	128.520	132.755	4.235	 dunque lei mh mi aveva: mh parlato di diverse possiblità,
59	BO020	133.176	134.670	1.494	 e::h io::,
60	BO020	134.965	135.957	0.992	 pensavo,
61	BO020	136.196	136.670	0.474	 eh,
62	BO020	137.127	143.180	6.053	 che e:h potrei e::h=mh stendere:=mh il questionario >stendere un questionario che<,
63	BO020	143.546	146.095	2.549	 in realtà non penso sia::=mh,
64	BO020	146.560	152.648	6.088	 m:h sia migliore un questionario aperto piut[tosto che] con una {P} domande chiu:se dove,
65	BO026	149.234	149.904	0.670	 [mh=mh],
66	BO020	153.106	158.244	5.138	 e:h non lo so per il numero di ragazzi che:=mh che vanno indicati,
67	BO020	158.446	162.234	3.788	 e:h c' è una percentuale ciè c' è un (sacco) abbastanza=mh [più],
68	BO026	161.645	164.197	2.552	 [è mh] è un questionario rivolto a studenti?
69	BO020	164.296	165.010	0.714	 mh al[lora],
70	BO026	164.590	165.446	0.856	 [°o ai do]centi?°
71	BO020	165.495	170.255	4.760	 o:~ ora ri~=r[itorno un a]ttimin[o su no no] ai ai docenti lei mi a[veva] {P} detto,
72	BO026	166.026	166.831	0.805	 [perché è],
73	BO026	166.973	167.755	0.782	 [riepiloghiamo]
74	BO026	169.101	169.493	0.392	 [sì],
75	BO020	170.791	177.085	6.294	 e:h che io avrei potuto mandare un questionario ai tecnici di bologna io ho raccolto i tecnici,
76	BO026	177.085	177.493	0.408	 mh mh,
77	BO020	177.575	180.414	2.839	 gli istituti tecnici su [e:h >s]cuola secondaria<.
78	BO026	179.159	179.570	0.411	 [sì],
79	BO020	180.748	183.936	3.188	 di bologna che sarebbero: tredici quattordici,
80	BO026	184.043	184.382	0.339	 mh mh,
81	BO020	184.382	185.861	1.479	 ho qui tutti gli indirizzi.
82	BO020	186.138	187.703	1.565	 e::h=m:h
83	BO020	188.961	195.000	6.039	 e mh inviare un questionario che: sarebbe andato agli insegnanti d[i ital]iano o comunque di lingue,
84	BO026	193.361	193.745	0.384	 [sì],
85	BO020	195.308	196.148	0.840	 pe:r=eh,
86	BO020	196.321	197.770	1.449	 e::h=mh
87	BO026	197.821	202.414	4.593	 eh [e:h il t]ema er[a: la lingua l' altra l]ingua straniera.
88	BO020	198.041	198.745	0.704	 [e:h],
89	BO020	198.925	201.340	2.415	 [per mh sì il tema: sì il tema per],
90	BO020	202.466	207.600	5.134	 sì o co[munque su]ll' integrazione tra eh elle due ed elle esse.
91	BO026	203.011	203.483	0.472	 [mh],
92	BO026	207.860	208.418	0.558	 [mh mh],
93	BO020	207.861	210.380	2.519	 [pe:r] i:=mh non nativi.
94	BO026	210.638	211.181	0.543	 mh mh,
95	BO020	211.280	215.797	4.517	 e:h per studenti che imparano: l' italiano elle due imparano la lingua straniera.
96	BO026	215.956	216.319	0.363	 [e:h],
97	BO020	216.076	218.675	2.599	 [ma] rispetto alla [lingua] straniera:=mh,
98	BO026	217.070	217.416	0.346	 [sì].
99	BO020	219.341	223.744	4.403	 la seconda lingua strani[era <in]glese:> cioè >la la prima lingua [stran]iera inglese< oppure,
100	BO026	220.308	220.680	0.372	 [sì],
101	BO026	222.553	222.861	0.308	 [sì],
102	BO020	224.106	234.510	10.404	 e:h [anche] la seconda lingua straniera nel mio caso se lo facessi nel nelle mie classi sarebbe la seconda lingua straniera io diret[tamen]te sulla <sulle mie:> {P} sui miei ragazzi.
103	BO026	224.376	224.700	0.324	 [m:h],
104	BO026	230.595	231.006	0.411	 [sì],
105	BO020	235.329	241.680	6.351	 e:h quindi l' argomento era questo ah=m:h <[non] ben precisato> ancora però mh io direi che,
106	BO026	238.457	238.829	0.372	 [sì],
107	BO026	241.962	246.734	4.772	 sì prov[visoriamente avevamo identif~ m]h individuato quel diciamo,
108	BO020	242.421	244.473	2.052	 [questo potrebbe svilupparsi],
109	BO020	247.176	249.148	1.972	 sì più [o meno in questo:],
110	BO026	247.585	249.128	1.543	 [denominandolo così]?
111	BO026	249.194	257.356	8.162	 cioè la lingua straniera per gli apprendenti di italiano elle due no, l[a lingua] straniera la lingua:: studiata a scuola per gli apprendenti di italiano elle due?
112	BO020	253.040	253.436	0.396	 [sì],
113	BO020	257.454	263.127	5.673	 sì e l' interazione quindi tra elle due ed elle [esse e:h]=mh sì più o meno era questo.
114	BO026	260.331	260.959	0.628	 [mh mh],
115	BO020	263.661	264.829	1.168	 e::h=mh,
116	BO020	264.910	267.311	2.401	 io pensavo che a:h=mh,
117	BO020	267.641	268.925	1.284	 [e::h p~ posso],
118	BO026	267.819	272.537	4.718	 [nella sua scuola supe]riore qui[ndi pe]:r nel suo contesto di lavoro no?
119	BO020	269.611	269.978	0.367	 [sì].
120	BO020	272.635	272.996	0.361	 sì.
121	BO020	273.145	275.212	2.067	 [secondaria] di secondo [grado:],
122	BO026	273.145	273.881	0.736	 [e:h],
123	BO026	274.676	276.191	1.515	 [>nella scuola se]condaria di [secon~<]
124	BO020	275.574	277.308	1.734	 [tecni]co. per[ché io],
125	BO026	276.670	277.574	0.904	 [tecnico] sì.
126	BO020	277.738	282.414	4.676	 e:h nella mia scuola xxx sia l' indirizzo tecnico che il professionale in realtà,
127	BO020	282.800	285.801	3.001	 la maggior parte degli stranieri si trova al professionale.
128	BO020	286.193	287.230	1.037	 e::h=mh
129	BO020	287.530	288.148	0.618	 quindi,
130	BO020	288.396	291.851	3.455	 ma m:h in realtà anche al tecnico ci sono gli stranieri ora,
131	BO020	292.155	295.508	3.353	 la scelta tra l' uno e l' altro u::h=mh
132	BO020	295.713	297.446	1.733	 io direi potrebbe [dipendere],
133	BO026	296.553	301.446	4.893	 [scusi solo un a]ttimo mattia se vuoi puoi chiudere la porta perché c' è molto rumore.
134	BO026	301.986	302.904	0.918	 [e::h],
135	BO020	302.106	303.520	1.414	 [troppo rumore d]i fondo.
136	BO026	303.520	303.870	0.350	 sì.
137	BO020	304.365	305.188	0.823	 e:h=mh
138	BO020	305.361	310.053	4.692	 potrebbe: dipende da: dalla risposta che ricevo dalle altre scuole.
139	BO026	310.053	310.425	0.372	 sì.
140	BO020	310.425	316.425	6.000	 questo perché io avevo pensato di fa:re una {P} questionario rivolto alle diverse scuole,
141	BO020	316.991	318.331	1.340	 eh che:=m:h
142	BO020	318.565	320.676	2.111	 mi dà {P} delle indicazione di base.
143	BO026	320.775	321.191	0.416	 mh mh,
144	BO020	321.290	322.606	1.316	 e poi utilizzare,
145	BO020	323.030	326.623	3.593	 >se possibile la mia scuola< quindi o il tecnico o il professionale,
146	BO026	326.721	327.165	0.444	 mh mh,
147	BO020	327.165	331.946	4.781	 le classi: m:h prime e seconde quindi {P} >quattordici quindici< sedici anni,
148	BO020	332.533	334.425	1.892	 a:h=mh pe:r come,
149	BO020	335.151	337.503	2.352	 eh diciamo come::=mh,
150	BO020	337.563	338.670	1.107	 modello,
151	BO020	338.905	339.605	0.700	 m::h,
152	BO020	340.340	342.425	2.085	 dei <vari::> tecnici,
153	BO020	342.765	346.702	3.937	 [<e:h e] fare l' analisi più approfondita>,
154	BO026	342.765	343.366	0.601	 [mh mh],
155	BO020	347.095	348.670	1.575	 <sui risultati>,
156	BO020	348.985	350.829	1.844	 <eh che ottengo>,
157	BO020	351.171	352.255	1.084	 nella mia scu[ola].
158	BO026	351.910	352.261	0.351	 [sì].
159	BO020	352.563	355.106	2.543	 anch[e perché e:h se fosse la sit~]
160	BO026	352.904	360.517	7.613	 [quindi una ricognizione: a]mpia ne ne in que[sto:: numero di istituti tecnici no per avere un quadro ge]nerale.
161	BO020	356.568	360.340	3.772	 [sì. {P} per avere un quadro più generale per vedere],
162	BO020	360.615	366.138	5.523	 se il mio istituto rientra nella più o meno nella {P} nella media degli istituti,
163	BO020	366.430	369.265	2.835	 e:h tecnici per quanto riguarda,
164	BO020	369.570	377.117	7.547	 il numero di [studen]ti, la distribuzione tra {P} eh=mh <stranieri:> e:h=mh nativi non na[tivi],
165	BO026	370.256	370.901	0.645	 [m:h],
166	BO026	376.608	377.125	0.517	 [mh mh],
167	BO020	377.595	378.991	1.396	 e::h=mh,
168	BO020	379.340	380.861	1.521	 <e anche pe:r>,
169	BO020	381.202	383.606	2.404	 eh stabilire quali sono le seconde,
170	BO020	384.136	389.685	5.549	 le la prima lingua straniera >ovviamente è l' inglese ma anche eh=eventualmente le seconde lingue studiate<,
171	BO020	389.985	390.968	0.983	 <e poi>,
172	BO020	391.323	392.521	1.198	 e::h=mh,
173	BO020	392.720	396.191	3.471	 utilizzare mh i risultati della mia scuola per=mh,
174	BO020	396.581	401.680	5.099	 avere u:n mh qualcosa di più pratico su cui lavorare di:: risc[ontro]:,
175	BO026	401.030	401.510	0.480	 [sì].
176	BO020	402.021	403.908	1.887	 [e:h e di esempi],
177	BO026	402.023	407.726	5.703	 [cioè sulla base delle rispo]ste: del quadro che lei un po' insomma delinea,
178	BO026	408.001	414.265	6.264	 riesce poi a: a:=mh a fissare meglio gli obiettivi per un' analisi approfondita presso la sua scuola?
179	BO020	414.265	422.010	7.745	 sì cioè nella misura in cui la mia scuola puo' puo' valere come modello anche per le altre p[erché] più o meno,
180	BO026	420.715	421.300	0.585	 [mh mh],
181	BO020	422.316	424.095	1.779	 <e la situazione>,
182	BO020	424.702	432.744	8.042	 distribuzione: eh della: degli studenti anche delle lingue anche delle competenze {P} [linguistiche],
183	BO026	431.298	433.266	1.968	 [ma come modello in che se]nso?
184	BO020	433.685	434.741	1.056	 e:h=mh
185	BO020	435.585	436.723	1.138	 nel s[enso che],
186	BO026	435.995	443.361	7.366	 [<di colla]borazione tra i mh le insegnanti di: programmazione coordinata integrata:>,
187	BO020	443.513	446.510	2.997	 m::h no io mh pensavo di fare:=mh,
188	BO020	446.907	448.446	1.539	 uno studio sulla,
189	BO020	449.126	450.556	1.430	 e:h=mh
190	BO020	451.160	455.478	4.318	 a:h sulla: o sul lessico o sulla morfosintassi:,
191	BO020	455.760	457.638	1.878	 eh di questi ragazzi.
192	BO026	457.750	458.138	0.388	 mh m[h],
193	BO020	458.166	465.139	6.973	 [qu]indi mh ovviamente non potrei fa~ cioè mh mi sembra difficile d~ raccogliere dei dati così approfonditi,
194	BO020	465.455	469.186	3.731	 e:h su tante scuole anche per[ché {P} immagino che],
195	BO026	467.575	474.023	6.448	 [sì no questo non è possi]bile infatti {P} c[ioè le] domande del questionario:: e:h=mh mh,
196	BO020	470.255	470.581	0.326	 [sì].
197	BO026	474.195	479.290	5.095	 per altro a risposta aperta riguardano semplicemente la: possono riguardare,
198	BO020	479.570	481.546	1.976	 [sì la distribuzione],
199	BO026	479.570	481.546	1.976	 [il tipo di collaborazione],
200	BO026	481.790	490.493	8.703	 e::h il numero di ore:: dell~=m:h [cioè il il] mh lo spazio che la disciplina occupa nella programmazione nei programmi,
201	BO020	484.970	485.860	0.890	 [di lingua]?
202	BO020	490.591	497.741	7.150	 che quello più o meno in realtà pe:r l[a >per le classi] prime e seconde è uniforme in tutti gli istituti [ma non so]lo nei tecnici quindi<,
203	BO026	492.141	493.260	1.119	 [lei lo conosce]?
204	BO026	495.750	496.253	0.503	 [sì].
205	BO020	497.793	502.290	4.497	 son tre ore di:: inglese son tre ore di: {P} seconda lin[gua].
206	BO026	501.895	502.313	0.418	 [sì].
207	BO020	502.575	505.788	3.213	 [e::h anche] le ore di italiano direi che son le stesse.
208	BO026	502.796	503.674	0.878	 [cioè da questo],
209	BO026	506.018	516.510	10.492	 da questa indagine puo' emergere quali lingue straniere e i tempi di: di:: sì di: della disciplina saranno gli stessi quali lingue straniere vengono studiate,
210	BO026	516.784	529.569	12.785	 se c' è {P} una: rapporto tra e:h l' insegnanti di: l' insegnante di italiano elle due e di laboratorio {P} e l' insegnante di lingua:: straniera per esempio di inglese o di tedesco o di:,
211	BO026	529.985	531.241	1.256	 spagnolo no?
212	BO020	531.810	537.093	5.283	 [e:h=m:h lei lei] dice un rapporto in che senso d[i programmazione didattica]?
213	BO026	531.810	533.081	1.271	 [e:h=mh perché],
214	BO026	535.046	539.728	4.682	 [cioè una collaborazione professionale] per esempio una programmazione integrata no?
215	BO026	539.930	543.128	3.198	 è il famos[o concetto] di educazione linguistica integrata.
216	BO020	540.500	541.063	0.563	 [allora],
217	BO020	543.328	549.123	5.795	 mh diciamo che questo succede a livello di consigli di classe credo perché nei c[onsigli di] classe,
218	BO026	547.901	548.406	0.505	 [°mh,°]
219	BO020	549.590	554.733	5.143	 però {P} soprattutto nella dal terzo anno in poi si cerca di fare,
220	BO020	554.988	558.533	3.545	 e:h dei percorsi interdisciplinari [per cui]:,
221	BO026	557.915	558.435	0.520	 [°mh mh,°]
222	BO020	558.770	561.133	2.363	 u:h=non lo so eh inglese,
223	BO020	561.361	572.422	11.061	 e::h=m:h l~ l' inglese orientato {P} alla geografia all' amb[ito turi]stico poi e:h=m:h e poi eh chiaro dipende dagli indirizzi l' economia però,
224	BO026	565.901	566.480	0.579	 [mh mh],
225	BO020	572.820	573.844	1.024	 e::h=mh,
226	BO020	573.991	579.200	5.209	 primo e secondo anno::: direi di no siccome [la maggio]r parte dei:,
227	BO026	577.500	577.973	0.473	 [°mh],
228	BO026	580.028	585.866	5.838	 [e: quindi mh che tipo di domande] porrebbe lei cioè qual è diciamo lo scopo di questa:,
229	BO020	580.266	582.170	1.904	 [degli amministra~ xx]
230	BO026	586.146	588.666	2.520	 ricognizione attraverso un questionario.
231	BO020	588.765	592.677	3.912	 e:::h sì allora io m:h ho mh ho stilato::,
232	BO020	593.311	596.543	3.232	 un:: possibile questionario che::,
233	BO020	597.126	598.433	1.307	 e::h=mh
234	BO020	598.600	601.286	2.686	 non so <quanto> possa essere efficace.
235	BO020	601.553	602.885	1.332	 e::h=mh,
236	BO020	603.351	606.866	3.515	 pensavo a mh tipo al massimo venti doma:nde,
237	BO020	607.375	612.244	4.869	 e::h perché più lungo mi sembra: dispersiv[o: potrebbero rifiutarsi],
238	BO026	610.130	613.677	3.547	 [venti domande a risposta apert~ eh] infat[ti magari non],
239	BO020	612.560	616.000	3.440	 [di fare la risposta] aperta perché se è a risposta chiusa mh,
240	BO020	616.200	619.622	3.422	 mi sembra poco informativo perché [è mo]lto:,
241	BO026	618.646	619.028	0.382	 [sì].
242	BO020	620.155	624.300	4.145	 cioè io devo dare massimo tre possiiblità quattro possibilità,
243	BO020	624.585	626.411	1.826	 e comunque il numero,
244	BO020	626.535	631.877	5.342	 e::h=[mh non lo s]o da dieci a venti da:: venti a trenta di ragazzi mi sembra,
245	BO026	627.088	627.800	0.712	 [m:h],
246	BO020	631.965	633.645	1.680	 m::h dispersivo.
247	BO020	633.905	635.455	1.550	 a [me sembra xx s]ì.
248	BO026	633.991	635.378	1.387	 [posso vedere un attimo]?
249	BO020	635.724	638.550	2.826	 allora io ho scritto, guardi. mh ho scritto anche,
250	BO020	639.013	642.186	3.173	 perché io {P} pensavo di lasciarglielo però n:~
251	BO026	642.976	650.393	7.417	 e::h=m:h l' ha fatto anche in una in x in una:: l' ha scritto solo così o anche: ce l' ha anche in formato: digi[tale]?
252	BO020	649.971	653.800	3.829	 [ce l' ho c]osì {P} [sì] mh questo qui [ah] lei dice ce l' ho su chi[avetta]?
253	BO026	650.588	651.015	0.427	 [ah].
254	BO026	651.688	651.986	0.298	 [sì].
255	BO026	652.913	655.061	2.148	 [tutto tutto i]l questionario?
256	BO020	655.220	656.938	1.718	 questo ce l' ho su chiavetta sì.
257	BO020	656.966	660.177	3.211	 però non è a[ncora ben strutturato °comunque non ho,°]
258	BO026	657.771	660.155	2.384	 [allora le prime sono::],
259	BO026	660.246	663.411	3.165	 proprio informative [(no) quante] lingue quali so[no],
260	BO020	661.288	662.011	0.723	 [mh sì].
261	BO020	663.233	664.533	1.300	 [s]ì sì proprio di base.
262	BO026	664.630	667.044	2.414	 e:h quanti studenti: ci sono in,
263	BO026	667.988	668.645	0.657	 okay?
264	BO026	679.822	682.966	3.144	 e quella dei nativi è al secondo posto,
265	BO026	709.613	713.133	3.520	 sì eh sarebbe queste no, sono qua[ttordici]?
266	BO020	712.171	716.777	4.606	 [sì infatti poi] una è modificata qui n[e ho aggiu]nta un' altra e non ho messo,
267	BO026	714.331	714.881	0.550	 [mh mh],
268	BO020	717.150	719.722	2.572	 le xx xx diciamo quest[o:]:,
269	BO026	719.123	719.528	0.405	 [mh mh],
270	BO026	720.558	723.433	2.875	 allora [la prima cosa che posso dire qui eh],
271	BO020	721.181	723.866	2.685	 [sì no pensavo un quindici o un massimo ve]nti.
272	BO026	724.786	725.900	1.114	 e:h=mh,
273	BO026	726.381	730.855	4.474	 sono tante queste no, e biso~ bisognerebbe accorparle,
274	BO026	731.016	736.844	5.828	 per ambito tematico per esempio queste sono solo informative sulla scuola no, quanti studenti,
275	BO020	736.844	737.258	0.414	 sì.
276	BO026	737.680	739.833	2.153	 e:h stra[nieri ci sono],
277	BO020	738.430	740.122	1.692	 [°numeriche in realtà s]ì.°
278	BO026	740.344	747.900	7.556	 mh {P} sul~ proprio quantitative cioè <quante lingue> >quantitative e qualitative< quante lingue quali quanti studenti stranieri,
279	BO026	748.206	748.555	0.349	 poi,
280	BO026	748.720	753.733	5.013	 una: un quadro diciamo delle lingue delle na~ delle lingue native delle nazionalità,
281	BO026	754.415	755.823	1.408	 e::h=mh,
282	BO026	764.578	768.596	4.018	 allora questa è >in geneale quale delle quattro abilità è più sviluppata<?
283	BO026	772.922	778.100	5.178	 io la ri[peterei io la ripeterei <questa do]manda> e:h riferita,
284	BO020	773.331	776.138	2.807	 [questa è abbastanza discrezionale nel senso che],
285	BO026	778.565	780.165	1.600	 ai neo arrivati:,
286	BO026	780.220	787.555	7.335	 e agli stranieri nativi in italia cioè la ripeterei non metterei {P} in maniera implicita: otto e no~ in otto e nove,
287	BO026	788.001	789.521	1.520	 e::h=mh,
288	BO020	789.621	790.100	0.479	 sì.
289	BO026	790.666	792.588	1.922	 [la la domanda di base no]?
290	BO020	790.720	792.577	1.857	 [ah per esteso lei dice, sì].
291	BO026	792.970	798.951	5.981	 dopo di che qui ci sono queste che riguardano il lessico e la competenza lessicale allora vanno messe insieme.
292	BO026	799.246	799.586	0.340	 no?
293	BO026	799.835	801.906	2.071	 la numero dieci e la numero dodici,
294	BO020	802.146	802.744	0.598	 mh mh,
295	BO026	802.843	805.488	2.645	 una dietro l' altra non non con questi salti.
296	BO026	806.030	811.077	5.047	 e poi c' è u:n forse passaggio brusco al code switching perché bisogna,
297	BO026	811.677	812.688	1.011	 <prima>,
298	BO026	812.845	814.344	1.499	 e:h=mh chiedere,
299	BO026	814.655	816.177	1.522	 intanto se ci sono,
300	BO026	816.448	819.813	3.365	 dei fenomeni di code switching magari con altre lingue,
301	BO020	820.260	820.571	0.311	 m[h],
302	BO026	820.451	822.716	2.265	 [ch]e non sono quelle studiate a scuola.
303	BO026	823.305	823.625	0.320	 °mh,°
304	BO026	823.975	824.570	0.595	 perché,
305	BO026	824.781	829.833	5.052	 a che cosa si riferisce mh perché perché (mh) [lei ha inserito il] code switching?
306	BO020	828.135	829.211	1.076	 [a::=mh],
307	BO020	830.783	832.900	2.117	 <a questo eh=m::h>,
308	BO020	834.977	842.748	7.771	 siccome lo farebbe o l' insegnante di italiano >risponderebb[e l' insegna]te di italiano o l' insegnante di lingua ma io credo l' insegnante di italiano<.
309	BO026	838.683	839.135	0.452	 [mh mh],
310	BO020	843.175	844.058	0.883	 e:h=mh,
311	BO020	844.936	846.866	1.930	 rispe:tto: alla=mh,
312	BO020	847.155	848.290	1.135	 alla lingua:,
313	BO020	849.131	850.477	1.346	 alla prima li[ngua],
314	BO026	850.040	850.466	0.426	 [mh mh],
315	BO020	850.503	851.122	0.619	 deii:,
316	BO020	852.048	857.500	5.452	 e: sì d~ d~ è vero dovrei chiarirlo magari <legarlo ai non nativi>,
317	BO026	857.505	857.845	0.340	 sì.
318	BO020	858.208	858.866	0.658	 eh=mh,
319	BO026	858.960	860.855	1.895	 cioè {P} eh=m[h allora di solito],
320	BO020	859.680	863.811	4.131	 [cioè me~ metterla] di seguito alla risposta su >non lo so< quant[i:],
321	BO026	863.531	863.833	0.302	 [sì].
322	BO020	864.181	864.698	0.517	 eh=mh,
323	BO020	864.760	866.740	1.980	 o quali <quali lingue>,
324	BO020	866.955	868.818	1.863	 altre vengono parlate,
325	BO020	868.926	869.426	0.500	 e:h
326	BO020	869.472	872.545	3.073	 <oddio non ho ben chiaro d[ove potrei metterla però>],
327	BO026	871.086	877.300	6.214	 [no allora una cosa che pu]o' fare è il il va bene in ogni caso qualsiasi questionario ha bisogno di:,
328	BO026	877.604	880.011	2.407	 assemblare per aree tematiche.
329	BO026	880.207	880.922	0.715	 per esempio,
330	BO026	881.188	884.811	3.623	 <i dati informativi, la frequenza, le lingue>, cioè,
331	BO026	885.386	887.155	1.769	 lo dico in generale no, quindi,
332	BO026	887.380	887.922	0.542	 se qui,
333	BO026	888.181	895.933	7.752	 <se dal quesito dalla dieci> dalla domanda dieci alla quattor~ alla <quattordici> ci spostiamo sulle competenze linguistiche,
334	BO026	896.296	900.776	4.480	 allora se questa riguarda il lessico quel~ le due del lessico le teniamo vicine.
335	BO020	900.876	901.198	0.322	 sì.
336	BO026	901.198	903.888	2.690	 perché poi ci sono quelle che riguardano la morfosi[ntassi],
337	BO020	903.366	903.853	0.487	 [sì].
338	BO026	904.700	906.677	1.977	 e poi i fenomeni:=mh,
339	BO026	906.810	911.763	4.953	 di::=mh già discorsivi no, perché il code switching è all' interno della,
340	BO026	912.118	916.155	4.037	 delle della interazione verbale se quando c[omun]ica con gli altri,
341	BO020	914.822	915.176	0.354	 [sì].
342	BO026	916.256	916.577	0.321	 se,
343	BO026	917.948	920.711	2.763	 ricorrono anche episodi di questo tipo.
344	BO026	921.160	921.611	0.451	 però,
345	BO026	921.765	924.300	2.535	 e:h questo questionario ancora non ci dice,
346	BO026	924.850	926.010	1.160	 e::h=mh,
347	BO026	928.033	932.688	4.655	 che cosa:: ef[fettivamente] cioè qu[al è la sua meta qual è] lo scopo no?
348	BO020	929.320	930.328	1.008	 [che cosa vogliamo].
349	BO020	930.665	932.073	1.408	 [qual è lo scopo],
350	BO020	932.786	933.103	0.317	 sì.
351	BO026	933.201	934.488	1.287	 l' altra volta mi sembrava,
352	BO026	935.376	935.723	0.347	 che,
353	BO026	935.881	937.533	1.652	 avevamo parlato di,
354	BO026	937.753	939.025	1.272	 e::h=mh,
355	BO026	940.375	943.600	3.225	 indagare la relazione che c' è eh tra,
356	BO026	944.383	945.644	1.261	 l' italiano elle due,
357	BO026	945.906	950.960	5.054	 e la lingua straniera che viene appresa a scuola °no cioè° gli apprendenti di italiano elle due,
358	BO026	951.900	952.210	0.310	 eh,
359	BO026	952.375	959.155	6.780	 ha {P} una sua lingua nativa o anche più lingue e nella scuola in cui è inserito impara,
360	BO026	959.965	966.246	6.281	 la lingua maggioritaria come lingua seconda >ma al tempo stesso c' è una lingua che fa parte del piano di studio< no?
361	BO026	966.560	968.615	2.055	 che fa parte del programma scolastico.
362	BO026	968.775	969.400	0.625	 e quindi,
363	BO026	971.066	978.600	7.534	 che tipo di e:h che cosa vuole indagare lei cioè quali c~ quali quali competenze <sviluppa> in quest' altra lingua?
364	BO026	978.855	979.815	0.960	 in parallelo?
365	BO026	980.533	982.248	1.715	 oppure se la conosce già,
366	BO026	982.571	983.411	0.840	 oppu[re],
367	BO020	983.111	985.400	2.289	 [in quest' a]ltra lingua mi scusi [e:h la mia],
368	BO026	984.366	986.688	2.322	 [la lingua stranier]a la lingua straniera.
