tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
45	BOR006	92.985	94.055	1.07	True	0	0	0	0	0	0	False	False	False	False	False		0	1	0	2	mh ((ride)) okay	mh {ride} okay	mh {ride} okay
46	BOI049	94.469	95.785	1.316	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	in questo momento:	in questo momento:	in questo momento
47	BOI049	96.202	96.861	0.659	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	mi sfugge	mi sfugge	mi sfugge
48	BOR006	96.861	97.647	0.786	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	non ti preoccupare	non ti preoccupare	non ti preoccupare
49	BOR006	99.589	100.462	0.873	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	e:: m::h	e:: m::h	e mh
50	BOR006	100.938	101.123	0.185	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	t~	t~	t~
51	BOR006	101.182	101.863	0.681	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	ti piace	ti piace	ti piace
52	BOR006	102.001	102.938	0.937	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	la zona?	la zona?	la zona
53	BOR006	103.231	104.417	1.186	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	in cui vivi adesso?	in cui vivi adesso?	in cui vivi adesso
54	BOI049	104.842	105.21	0.368	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	m::h	m::h	mh
55	BOI049	105.364	106.716	1.352	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	era meglio:::	era meglio:::	era meglio
56	BOI049	107.027	110.578	3.551	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	10	era meglio pri:ma insomma dove:: dove stavo prima ecco mh	era meglio pri:ma insomma dove:: dove stavo prima ecco mh	era meglio prima insomma dove dove stavo prima ecco mh
57	BOI049	111.298	113.557	2.259	True	0	0	0	0	0	0	False	False	False	False	False		0	1	0	6	((schiocca la lingua)) era una zona: un po' miglio:re	{schiocca_la_lingua} era una zona: un po' miglio:re	{schiocca_la_lingua} era una zona un po' migliore
58	BOI049	113.83	114.687	0.857	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	qui è::	qui è::	qui è
59	BOI049	114.848	116.51	1.662	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	6	molto in periferi:a ecco no:n m:h	molto in periferi:a ecco no:n m:h	molto in periferia ecco non mh
60	BOR006	116.793	117.102	0.309	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	mhmh	mhmh	mhmh
61	BOI049	117.628	119.289	1.661	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	4	non c'è quasi niente °sì::°	non c'è quasi niente °sì::°	non c'è quasi niente sì
62	BOI049	120.329	122.383	2.054	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	3	c'è il centro commercia:le::	c'è il centro commercia:le::	c'è il centro commerciale
63	BOI049	122.625	124.183	1.558	True	0	0	0	0	0	0	False	False	False	False	False		0	1	0	4	e basta ecco ((ride)) (°no°)	e basta ecco {ride} (°no°)	e basta ecco {ride} no
64	BOR006	124.776	125.221	0.445	True	0	0	0	0	0	0	False	False	False	False	False		0	1	0	1	mh ((ride))	mh {ride}	mh {ride}
65	BOI049	125.221	127.991	2.77	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	8	prima ero più vicino al centro: e:: m::h	prima ero più vicino al centro: e:: m::h	prima ero più vicino al centro e mh
66	BOI049	129.552	131.941	2.389	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	quindi m::h mi trovavo: meglio	quindi m::h mi trovavo: meglio	quindi mh mi trovavo meglio
67	BOI049	132.316	133.177	0.861	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	°sicuramente°	°sicuramente°	sicuramente
68	BOR006	133.709	135.464	1.755	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	sì ti sentivi meno::	sì ti sentivi meno::	sì ti sentivi meno
69	BOR006	135.773	137.338	1.565	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	[fuori da]	[fuori da]	fuori da
70	BOI049	135.82	138.779	2.959	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	[meno in periferi:a s]ì, meno::	[meno in periferi:a s]ì, meno::	meno in periferia sì meno
71	BOI049	139.873	140.875	1.002	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	m::::h	m::::h	mh
72	BOI049	143.421	146.197	2.776	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	6	ero più verso il ce:ntro dove c'è::	ero più verso il ce:ntro dove c'è::	ero più verso il centro dove c'è::
73	BOI049	147.167	147.932	0.765	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	m:::h	m:::h	mh
74	BOI049	148.111	151.6	3.489	True	0	0	0	0	0	0	False	False	False	False	False		0	0	2	8	c'è più attività ecco c'è:: più cose da fa:re insomma::	c'è più attività ecco c'è:: più cose da fa:re insomma::	c'è più attività ecco c'è:: più cose da fare insomma
75	BOR006	151.601	151.987	0.386	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	m:h	m:h	mh
76	BOR006	153.834	155.248	1.414	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	e:: e quindi	e:: e quindi	e e quindi
77	BOR006	155.857	158.006	2.149	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	6	eh magari per migliorare la zo:na	eh magari per migliorare la zo:na	eh magari per migliorare la zona
78	BOR006	158.165	159.29	1.125	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	in cui sei adesso	in cui sei adesso	in cui sei adesso
79	BOR006	159.919	162.106	2.187	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	e::h cosa:: penseresti di fa:re?	e::h cosa:: penseresti di fa:re?	eh cosa penseresti di fare
80	BOI049	163.161	164.312	1.151	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	oddio e::h	oddio e::h	oddio eh
81	BOI049	164.634	166.415	1.781	True	0	0	0	0	0	0	False	False	True	False	False		0	0	0	3	([(x) nella zo]na::)	([(x) nella zo]na::)	x nella zona
82	BOR006	164.754	165.435	0.681	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	[x]	[x]	x
83	BOR006	167.205	170.002	2.797	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	13	cioè ad esempio esempio se mi hai detto che sei molto in periferia	cioè ad esempio esempio se mi hai detto che sei molto in periferia	cioè ad esempio esempio se mi hai detto che sei molto in periferia
84	BOR006	170.368	173.246	2.878	True	0	0	0	0	0	0	False	False	False	False	False		1	0	0	5	magari:: (.) s~ sulla questione traspo::rti:	magari:: {P} s~ sulla questione traspo::rti:	magari {P} s~ sulla questione trasporti
85	BOI049	173.789	176.343	2.554	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	7	beh gli autobus? ci so:no quello: mh	beh gli autobus? ci so:no quello: mh	beh gli autobus ci sono quello mh
86	BOI049	176.67	178.411	1.741	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	6	non è un proble:ma ecco m::h	non è un proble:ma ecco m::h	non è un problema ecco mh
87	BOI049	179.881	183.989	4.108	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	12	no beh ci sono i problemi di tutte le periferi:e insomma::: m:h	no beh ci sono i problemi di tutte le periferi:e insomma::: m:h	no beh ci sono i problemi di tutte le periferie insomma mh
88	BOI049	185.568	188.509	2.941	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	6	che:: ci sono pochi servi:zi: e::	che:: ci sono pochi servi:zi: e::	che ci sono pochi servizi e
89	BOI049	189.53	191.018	1.488	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	sono tutti verso il ce:ntro	sono tutti verso il ce:ntro	sono tutti verso il centro
90	BOR006	191.047	191.596	0.549	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	°mhmh°	°mhmh°	mhmh
91	BOR006	193.006	194.461	1.455	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	sai che, e::hm	sai che, e::hm	sai che ehm
92	BOR006	194.948	196.443	1.495	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	2	credo da quest'a:nno	credo da quest'a:nno	credo da quest'a:nno
93	BOR006	196.912	200.629	3.717	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	10	che hanno poi anche riapetro: davvero le lezioni in prese:nza	che hanno poi anche riapetro: davvero le lezioni in prese:nza	che hanno poi anche riapetro davvero le lezioni in presenza
94	BOR006	201.054	201.561	0.507	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	e::h	e::h	eh
95	BOR006	201.927	203.272	1.345	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	x proprio vicino:	x proprio vicino:	x proprio vicino
96	BOR006	203.409	204.084	0.675	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	a: qui	a: qui	a qui
97	BOR006	204.494	207.266	2.772	True	0	0	0	0	0	0	False	False	False	False	False		0	0	2	3	c'è il polo: scientifico dell'unibo	c'è il polo: scientifico dell'unibo	c'è il polo scientifico dell'unibo
98	BOR006	208.182	210.357	2.175	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	e: hanno trasferito molte facoltà	e: hanno trasferito molte facoltà	e hanno trasferito molte facoltà
99	BOR006	210.719	212.127	1.408	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	e: s[cientif]iche qua	e: s[cientif]iche qua	e scientifiche qua
100	BOI049	211.14	211.433	0.293	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	[sì]	[sì]	sì
101	BOR006	212.302	216.626	4.324	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	13	quindi adesso ci sono molti più studenti universitari che gravitano intorno alla zo:na	quindi adesso ci sono molti più studenti universitari che gravitano intorno alla zo:na	quindi adesso ci sono molti più studenti universitari che gravitano intorno alla zona
102	BOI049	216.626	216.927	0.301	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	°mh°	°mh°	mh
103	BOI049	217.539	221.036	3.497	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	8	ah prima c'era proprio: uno studentato qui al e::	ah prima c'era proprio: uno studentato qui al e::	ah prima c'era proprio uno studentato qui al e
104	BOR006	222.545	224.0	1.455	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	giusto il battifero (l~)	giusto il battifero (l~)	giusto il battifero l~
105	BOI049	224.024	226.265	2.241	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	7	al batti fe:ro [sì esa:tto] °al battifero°	al batti fe:ro [sì esa:tto] °al battifero°	al batti fero sì esatto al battifero
106	BOR006	224.803	225.229	0.426	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	[mh]	[mh]	mh
107	BOR006	226.964	227.212	0.248	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	[(vie~)]	[(vie~)]	vie~
108	BOI049	226.972	228.034	1.062	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	2	[(che c'è: m:h)]	[(che c'è: m:h)]	che c'è: mh
109	BOI049	228.509	229.557	1.048	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	3	adesso non c'è più	adesso non c'è più	adesso non c'è più
110	BOI049	230.332	231.274	0.942	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	oppure:::	oppure:::	oppure
111	BOR006	233.132	233.834	0.702	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	okay	okay	okay
112	BOR006	233.938	235.899	1.961	True	1	0	0	0	0	0	False	False	False	False	False		0	0	0	8	>ah io< n~  non lo so: non sapevo:	>ah io< n~ non lo so: non sapevo:	ah io n~ non lo so non sapevo
113	BOR006	235.996	236.943	0.947	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	che non ci fosse più	che non ci fosse più	che non ci fosse più
114	BOI049	237.784	240.21	2.426	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	qui abitavano proprio: gli studenti	qui abitavano proprio: gli studenti	qui abitavano proprio gli studenti
115	BOR006	240.833	241.264	0.431	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	mh	mh	mh
116	BOI049	242.484	246.527	4.043	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	11	invece so che adesso li hanno spostati da un'altra pa:rte non so	invece so che adesso li hanno spostati da un'altra pa:rte non so	invece so che adesso li hanno spostati da un'altra parte non so
117	BOI049	247.554	248.306	0.752	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	x x	x x	x x
118	BOR006	248.802	251.254	2.452	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	6	e:: qui ci sono: invece residenti	e:: qui ci sono: invece residenti	e qui ci sono invece residenti
119	BOR006	251.618	252.146	0.528	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	diciamo	diciamo	diciamo
120	BOI049	252.549	252.876	0.327	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	sì	sì	sì
121	BOR006	253.467	253.903	0.436	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	mhmh	mhmh	mhmh
122	BOR006	254.873	261.066	6.193	True	0	0	0	0	0	0	False	False	False	False	False		0	0	3	15	(ca)pito infatti c'è c'è ancora la fermata del e: dell'autobus che si chiama studentato battiferro però in realtà:	(ca)pito infatti c'è c'è ancora la fermata del e: dell'autobus che si chiama studentato battiferro però in realtà:	capito infatti c'è c'è ancora la fermata del e dell'autobus che si chiama studentato battiferro però in realtà
123	BOI049	261.47	263.53	2.06	True	0	0	0	0	0	0	False	False	False	False	False		1	0	1	6	non c'è più (.) da qualche anno m:h	non c'è più {P} da qualche anno m:h	non c'è più {P} da qualche anno mh
124	BOR006	264.309	264.686	0.377	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	mhmh	mhmh	mhmh
125	BOR006	265.853	269.446	3.593	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	9	e: e però hanno spostato mo:lti a fare l'università qui	e: e però hanno spostato mo:lti a fare l'università qui	e e però hanno spostato molti a fare l'università qui
126	BOR006	269.988	270.237	0.249	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	>quindi<	>quindi<	quindi
127	BOR006	271.188	278.124	6.936	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	27	>non so c(io)è< i:o sinceramente penso che m::h che sia un po' un problema appunto per quello che hai detto tu, >cioè< per la mancanza di servizi::	>non so c(io)è< i:o sinceramente penso che m::h che sia un po' un problema appunto per quello che hai detto tu, >cioè< per la mancanza di servizi::	non so cioè io sinceramente penso che mh che sia un po' un problema appunto per quello che hai detto tu cioè per la mancanza di servizi
128	BOR006	278.384	280.393	2.009	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	8	il fatto che sia una zona mo:lto periferica	il fatto che sia una zona mo:lto periferica	il fatto che sia una zona molto periferica
129	BOI049	281.249	286.325	5.076	True	0	0	0	0	0	0	False	False	False	False	False		0	1	0	11	sì per le str~ proprio:: ((ride)) vicino alla tangenzia:le insomma siamo proprio:	sì per le str~ proprio:: {ride} vicino alla tangenzia:le insomma siamo proprio:	sì per le str~ proprio {ride} vicino alla tangenziale insomma siamo proprio
130	BOI049	286.672	287.846	1.174	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	in periferia::	in periferia::	in periferia
131	BOI049	288.46	289.011	0.551	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	periferia	periferia	periferia
132	BOR006	289.301	290.102	0.801	True	0	0	0	0	0	0	False	False	False	False	False		0	1	0	1	mhmh ((ride))	mhmh {ride}	mhmh {ride}
133	BOR006	292.032	292.69	0.658	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	qui:ndi	qui:ndi	quindi
134	BOR006	293.034	295.777	2.743	True	0	0	0	0	0	0	False	False	False	False	False		0	0	2	9	poi te l'avevo: me l'hai detto un po' pri:ma, però insomma	poi te l'avevo: me l'hai detto un po' pri:ma, però insomma	poi te l'avevo: me l'hai detto un po' prima però insomma
135	BOR006	295.861	298.107	2.246	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	6	trovi tutto nel tuo quartiere: m:h	trovi tutto nel tuo quartiere: m:h	trovi tutto nel tuo quartiere mh
136	BOR006	298.211	299.375	1.164	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	non? proprio?	non? proprio?	non proprio
137	BOI049	299.459	300.028	0.569	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	m::h	m::h	mh
138	BOI049	300.187	305.46	5.273	True	0	0	0	0	0	0	False	False	False	False	False		0	0	5	7	i (c'è) i servizi essenzia:li sì: c'è c'è l'ana:grafe, c'è l e::	i (c'è) i servizi essenzia:li sì: c'è c'è l'ana:grafe, c'è l e::	i c'è i servizi essenziali sì c'è c'è l'ana:grafe, c'è l e
139	BOI049	305.616	307.155	1.539	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	centro commercia:le::	centro commercia:le::	centro commerciale
140	BOI049	308.362	309.148	0.786	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	queste cose qui	queste cose qui	queste cose qui
141	BOI049	310.991	314.052	3.061	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	6	per altre co:se bisogna spostarsi invece:	per altre co:se bisogna spostarsi invece:	per altre cose bisogna spostarsi invece
142	BOI049	314.792	315.653	0.861	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	in altre zo:ne	in altre zo:ne	in altre zone
143	BOR006	316.428	316.908	0.48	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	mhmh	mhmh	mhmh
144	BOR006	318.83	320.337	1.507	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	e:: tu come ti muovi?	e:: tu come ti muovi?	e tu come ti muovi
145	BOR006	321.002	321.816	0.814	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	(personal[mente?)]	(personal[mente?)]	personalmente
146	BOI049	321.361	322.683	1.322	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	2	[io::] con l'autobus	[io::] con l'autobus	io con l'autobus
147	BOI049	323.191	325.157	1.966	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	non ho la ma:cchina quindi::	non ho la ma:cchina quindi::	non ho la macchina quindi
148	BOI049	325.921	327.95	2.029	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	5	prendo l'au:tobus oppure vado a pie:di	prendo l'au:tobus oppure vado a pie:di	prendo l'au:tobus oppure vado a piedi
149	BOR006	328.912	330.72	1.808	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	ti piace: passesggiar[e:?]	ti piace: passesggiar[e:?]	ti piace passesggiare
150	BOI049	330.57	331.643	1.073	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	[s]ì mi pia:ce	[s]ì mi pia:ce	sì mi piace
151	BOI049	332.074	333.59	1.516	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	cammina:re sì: m:h	cammina:re sì: m:h	camminare sì mh
152	BOI049	334.713	337.107	2.394	True	0	0	0	0	0	0	False	False	False	False	False		0	1	1	3	è l'unica attività:: ((ride)) fisica	è l'unica attività:: {ride} fisica	è l'unica attività {ride} fisica
153	BOR006	337.372	338.038	0.666	True	0	0	0	0	0	0	False	False	False	False	False		0	1	0	0	((ride))	{ride}	{ride}
154	BOI049	338.121	339.401	1.28	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	che mi piace fa:re °sì°	che mi piace fa:re °sì°	che mi piace fare sì
155	BOR006	339.625	340.087	0.462	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	mhmh	mhmh	mhmh
