id,upos,form,context,Clitic,Definite,Degree,Gender,Mood,NumType,Number,Person,Poss,PronType,Tense,VerbForm
11:4,X,{ride},ciao {ride} {ride} {ride} {ride} alé,,,,,,,,,,,,
11:5,X,{ride},{ride} {ride} {ride} {ride} alé,,,,,,,,,,,,
11:6,INTJ,alé,{ride} {ride} {ride} alé,,,,,,,,,,,,
12:1,ADV,lì,lì è la fine,,,,,,,,,,,,
12:2,VERB,è,lì è la fine x,,,,,Ind,,Sing,3,,,Pres,Fin
12:3,DET,la,lì è la fine x {ride},,Def,,Fem,,,Sing,,,Art,,
12:4,NOUN,fine,lì è la fine x {ride} non,,,,Fem,,,Sing,,,,,
12:5,X,x,è la fine x {ride} non saprei,,,,,,,,,,,,
12:6,X,{ride},la fine x {ride} non saprei come,,,,,,,,,,,,
12:7,ADV,non,fine x {ride} non saprei come scrivere,,,,,,,,,,Neg,,
12:8,VERB,saprei,x {ride} non saprei come scrivere 'mbare,,,,,Cnd,,Sing,1,,,Pres,Fin
12:9,SCONJ,come,{ride} non saprei come scrivere 'mbare però,,,,,,,,,,,,
12:10,VERB,scrivere,non saprei come scrivere 'mbare però {ride},,,,,,,,,,,,Inf
12:11,NOUN,'mbare,saprei come scrivere 'mbare però {ride} {ride},,,,,,,,,,,,Inf
12:12,CCONJ,però,come scrivere 'mbare però {ride} {ride} apostrofo,,,,,,,,,,,,
12:13,X,{ride},scrivere 'mbare però {ride} {ride} apostrofo {ride},,,,,,,,,,,,
12:14,X,{ride},'mbare però {ride} {ride} apostrofo {ride},,,,,,,,,,,,
12:15,NOUN,apostrofo,però {ride} {ride} apostrofo {ride},,,,Fem,,,,,,,,
12:16,X,{ride},{ride} {ride} apostrofo {ride},,,,,,,,,,,,
13:1,INTJ,sì,sì apostrofo 'mbare mh,,,,,,,,,,,,
13:2,NOUN,apostrofo,sì apostrofo 'mbare mh c',,,,,Ind,,Sing,1,,,Pres,Fin
13:3,NOUN,'mbare,sì apostrofo 'mbare mh c' è,,,,,,,,,,,,Inf
13:4,INTJ,mh,sì apostrofo 'mbare mh c' è sempre,,,,,,,,,,,,
13:5,PRON,c',apostrofo 'mbare mh c' è sempre la,Yes,,,,,,Plur,1,,Prs,,
13:6,VERB,è,'mbare mh c' è sempre la prima,,,,,Ind,,Sing,3,,,Pres,Fin
13:7,ADV,sempre,mh c' è sempre la prima volta,,,,,,,,,,,,
13:8,DET,la,c' è sempre la prima volta mh,,Def,,Fem,,,Sing,,,Art,,
13:9,NUM,prima,è sempre la prima volta mh {ride},,,,Fem,,Ord,Sing,,,,,
13:10,NOUN,volta,sempre la prima volta mh {ride} x,,,,Fem,,,Sing,,,,,
13:11,INTJ,mh,la prima volta mh {ride} x {ride},,,,,,,,,,,,
13:12,X,{ride},prima volta mh {ride} x {ride},,,,,,,,,,,,
13:13,X,x,volta mh {ride} x {ride},,,,,,,,,,,,
13:14,X,{ride},mh {ride} x {ride},,,,,,,,,,,,
14:1,ADV,quindi,quindi con il pane,,,,,,,,,,,,
14:2,ADP,con,quindi con il pane cosa,,,,,,,,,,,,
14:3,DET,il,quindi con il pane cosa dobbiamo,,Def,,Masc,,,Sing,,,Art,,
14:4,NOUN,pane,quindi con il pane cosa dobbiamo cosa,,,,,,,,,,,,
14:5,PRON,cosa,con il pane cosa dobbiamo cosa fare,,,,,,,,,,Int,,
14:6,VERB,dobbiamo,il pane cosa dobbiamo cosa fare,,,,,Ind,,Plur,1,,,Pres,Fin
14:7,PRON,cosa,pane cosa dobbiamo cosa fare,,,,,,,,,,Int,,
14:8,VERB,fare,cosa dobbiamo cosa fare,,,,,,,,,,,,Inf
15:1,INTJ,no,no,,,,,,,,,,,,
16:1,X,p,p eh a a,,,,,,,,,,,,
16:2,INTJ,eh,p eh a a prendere,,,,,,,,,,,,
16:3,ADP,a,p eh a a prendere un,,,,,,,,,,,,
16:4,ADP,a,p eh a a prendere un caffè,,,,,,,,,,,,
16:5,VERB,prendere,eh a a prendere un caffè,,,,,,,,,,,,Inf
16:6,DET,un,a a prendere un caffè,,Ind,,Masc,,,Sing,,,Art,,
16:7,NOUN,caffè,a prendere un caffè,,,,Masc,,,,,,,,
17:1,ADV,poi,poi se vuoi fare,,,,,,,,,,,,
17:2,SCONJ,se,poi se vuoi fare aperitivo,,,,,,,,,,,,
17:3,VERB,vuoi,poi se vuoi fare aperitivo fai,,,,,Ind,,Sing,2,,,Pres,Fin
17:4,VERB,fare,poi se vuoi fare aperitivo fai quello,,,,,,,,,,,,Inf
17:5,NOUN,aperitivo,se vuoi fare aperitivo fai quello x,,,,Masc,,,Sing,,,,,
17:6,VERB,fai,vuoi fare aperitivo fai quello x da,,,,,Ind,,Sing,2,,,Pres,Fin
17:7,PRON,quello,fare aperitivo fai quello x da pallotti,,,,Masc,,,Sing,,,Dem,,
17:8,X,x,aperitivo fai quello x da pallotti,,,,,,,,,,,,
17:9,ADP,da,fai quello x da pallotti,,,,,,,,,,,,
17:10,PROPN,pallotti,quello x da pallotti,,,,Masc,,,Plur,,,,,
18:1,SCONJ,quando,quando {ride} x,,,,,,,,,,,,
18:2,X,{ride},quando {ride} x,,,,,,,,,,,,
18:3,X,x,quando {ride} x,,,,,,,,,,,,
19:1,CCONJ,ma,ma io da pallotti,,,,,,,,,,,,
19:2,PRON,io,ma io da pallotti ci,,,,,,,Sing,1,,Prs,,
19:3,ADP,da,ma io da pallotti ci piglio,,,,,,,,,,,,
19:4,PROPN,pallotti,ma io da pallotti ci piglio le,,,,,,,,,,,,
19:5,PRON,ci,io da pallotti ci piglio le paste,Yes,,,,,,Plur,1,,Prs,,
19:6,VERB,piglio,da pallotti ci piglio le paste,,,,,Ind,,Sing,1,,,Pres,Fin
19:7,DET,le,pallotti ci piglio le paste,,Def,,Fem,,,Plur,,,Art,,
19:8,NOUN,paste,ci piglio le paste,,,,Fem,,,Plur,,,,,
20:1,INTJ,cioè,cioè ci prendo mh,,,,,,,,,,,,
20:2,PRON,ci,cioè ci prendo mh le,Yes,,,,,,Plur,1,,Prs,,
20:3,VERB,prendo,cioè ci prendo mh le brio,,,,,Ind,,Sing,1,,,Pres,Fin
20:4,INTJ,mh,cioè ci prendo mh le brio,,,,,,,,,,,,
20:5,DET,le,ci prendo mh le brio,,Def,,Fem,,,Plur,,,Art,,
20:6,SYM,brio,prendo mh le brio,,,,,,,,,,,,
21:1,DET,le,le lasagne,,Def,,Fem,,,Plur,,,Art,,
21:2,NOUN,lasagne,le lasagne,,,,Fem,,,Plur,,,,,
22:1,INTJ,ah,ah non x le,,,,,,,,,,,,
22:2,ADV,non,ah non x le brioche,,,,,,,,,,Neg,,
22:3,X,x,ah non x le brioche x,,,,,,,,,,,,
22:4,DET,le,ah non x le brioche x cristobellotti,,Def,,Fem,,,Plur,,,Art,,
22:5,NOUN,brioche,non x le brioche x cristobellotti x,,,,Fem,,,Sing,,,,,
22:6,X,x,x le brioche x cristobellotti x {P},,,,,,,,,,,,
22:7,PROPN,cristobellotti,le brioche x cristobellotti x {P} mh,,,,,,,,,,,,
22:8,X,x,brioche x cristobellotti x {P} mh ce,,,,,,,,,,,,
22:9,X,{P},x cristobellotti x {P} mh ce n',,,,,,,,,,,,
22:10,INTJ,mh,cristobellotti x {P} mh ce n' ha,,,,,,,,,,,,
22:11,PRON,ce,x {P} mh ce n' ha poche,Yes,,,,,,Plur,1,,Prs,,
22:12,PRON,n',{P} mh ce n' ha poche,Yes,,,,,,,,,Prs,,
22:13,VERB,ha,mh ce n' ha poche,,,,,Ind,,Sing,3,,,Pres,Fin
22:14,PRON,poche,ce n' ha poche,,,,,,,,,,,,
23:1,SCONJ,come,come no,,,,,,,,,,,,
23:2,INTJ,no,come no,,,,,,,,,,,,
24:1,DET,che,che palle,,,,,,,,,,Exc,,
24:2,NOUN,palle,che palle,,,,Fem,,,Plur,,,,,
25:1,INTJ,beh,beh pigli un dolcino,,,,,,,,,,,,
25:2,VERB,pigli,beh pigli un dolcino se,,,,,Ind,,Sing,2,,,Pres,Fin
25:3,DET,un,beh pigli un dolcino se no,,Ind,,Masc,,,Sing,,,Art,,
25:4,NOUN,dolcino,beh pigli un dolcino se no glie,,,,Masc,,,Sing,,,,,
25:5,SCONJ,se,pigli un dolcino se no glie lo,,,,,,,,,,,,
25:6,INTJ,no,un dolcino se no glie lo chiedi,,,,,,,,,,Neg,,
25:7,PRON,glie,dolcino se no glie lo chiedi se,Yes,,,Masc,,,Sing,3,,Prs,,
25:8,PRON,lo,se no glie lo chiedi se c',Yes,,,Masc,,,Sing,3,,Prs,,
25:9,VERB,chiedi,no glie lo chiedi se c' ha,,,,,Ind,,Sing,2,,,Pres,Fin
25:10,SCONJ,se,glie lo chiedi se c' ha le,,,,,,,,,,,,
25:11,PRON,c',lo chiedi se c' ha le brioche,Yes,,,,,,Plur,1,,Prs,,
25:12,VERB,ha,chiedi se c' ha le brioche oppure,,,,,Ind,,Sing,3,,,Pres,Fin
25:13,DET,le,se c' ha le brioche oppure se,,Def,,Fem,,,Plur,,,Art,,
25:14,NOUN,brioche,c' ha le brioche oppure se te,,,,Fem,,,Plur,,,,,
25:15,CCONJ,oppure,ha le brioche oppure se te le,,,,Fem,,,Plur,,,,,
25:16,SCONJ,se,le brioche oppure se te le fa,,,,,,,,,,,,
25:17,PRON,te,brioche oppure se te le fa mh,Yes,,,,,,Sing,2,,Prs,,
25:18,PRON,le,oppure se te le fa mh x,Yes,,,Fem,,,,3,,Prs,,
25:19,VERB,fa,se te le fa mh x a,,,,,Ind,,Sing,3,,,Pres,Fin
25:20,INTJ,mh,te le fa mh x a parte,,,,,,,,,,,,
25:21,X,x,le fa mh x a parte che,,,,,,,,,,,,
25:22,ADP,a,fa mh x a parte che no,,,,,,,,,,,,
25:23,NOUN,parte,mh x a parte che no perché,,,,Fem,,,Sing,,,,,
25:24,SCONJ,che,x a parte che no perché scivola,,,,,,,,,,,,
25:25,INTJ,no,a parte che no perché scivola,,,,,,,,,,,,
25:26,SCONJ,perché,parte che no perché scivola,,,,,,,,,,,,
25:27,VERB,scivola,che no perché scivola,,,,,Ind,,Sing,3,,,Pres,Fin
26:1,ADP,a,a parte che pallotti,,,,,,,,,,,,
26:2,NOUN,parte,a parte che pallotti fa,,,,Fem,,,Sing,,,,,
26:3,SCONJ,che,a parte che pallotti fa anche,,,,,,,,,,,,
26:4,PROPN,pallotti,a parte che pallotti fa anche il,,,,,,,,,,,,
26:5,VERB,fa,parte che pallotti fa anche il coso,,,,,Ind,,Sing,3,,,Pres,Fin
26:6,ADV,anche,che pallotti fa anche il coso,,,,,,,,,,,,
26:7,DET,il,pallotti fa anche il coso,,Def,,Masc,,,Sing,,,Art,,
26:8,NOUN,coso,fa anche il coso,,,,Masc,,,Sing,,,,,
27:1,DET,l',l' aperitivo,,Def,,,,,Sing,,,Art,,
27:2,NOUN,aperitivo,l' aperitivo,,,,Masc,,,Sing,,,,,
28:1,INTJ,no,no,,,,,,,,,,,,
29:1,INTJ,sì,sì,,,,,,,,,,,,
30:1,ADV,non,non so come lo,,,,,,,,,,Neg,,
30:2,VERB,so,non so come lo fa,,,,,Ind,,Sing,1,,,Pres,Fin
30:3,ADV,come,non so come lo fa cioè,,,,,,,,,,,,
30:4,PRON,lo,non so come lo fa cioè mi,Yes,,,Masc,,,Sing,3,,Prs,,
30:5,VERB,fa,so come lo fa cioè mi sa,,,,,Ind,,Sing,3,,,Pres,Fin
30:6,CCONJ,cioè,come lo fa cioè mi sa che,,,,,,,,,,,,
30:7,PRON,mi,lo fa cioè mi sa che costa,Yes,,,,,,Sing,1,,Prs,,
30:8,VERB,sa,fa cioè mi sa che costa,,,,,Ind,,Sing,3,,,Pres,Fin
30:9,SCONJ,che,cioè mi sa che costa,,,,,,,,,,,,
30:10,VERB,costa,mi sa che costa,,,,,Ind,,Sing,3,,,Pres,Fin
31:1,INTJ,vabbè,vabbè però è anche,,,,,,,,,,,,
31:2,ADV,però,vabbè però è anche è,,,,,,,,,,,,
31:3,VERB,è,vabbè però è anche è anche,,,,,Ind,,Sing,3,,,Pres,Fin
31:4,ADV,anche,vabbè però è anche è anche ristorante,,,,,,,,,,,,
31:5,VERB,è,però è anche è anche ristorante,,,,,Ind,,Sing,3,,,Pres,Fin
31:6,ADV,anche,è anche è anche ristorante,,,,,,,,,,,,
31:7,NOUN,ristorante,anche è anche ristorante,,,,,,,Sing,,,,Pres,Part
32:1,DET,quella,quella volta che ci,,,,Fem,,,Sing,,,Dem,,
32:2,NOUN,volta,quella volta che ci siamo,,,,Fem,,,Sing,,,,,
32:3,PRON,che,quella volta che ci siamo andati,,,,,,,,,,Rel,,
32:4,PRON,ci,quella volta che ci siamo andati noi,Yes,,,,,,Plur,1,,Prs,,
32:5,AUX,siamo,volta che ci siamo andati noi non,,,,,Ind,,Plur,1,,,Pres,Fin
32:6,VERB,andati,che ci siamo andati noi non c',,,,,Imp,,Sing,2,,,Pres,Fin
32:7,PRON,noi,ci siamo andati noi non c' era,,,,,,,Plur,1,,Prs,,
32:8,ADV,non,siamo andati noi non c' era un,,,,,,,,,,Neg,,
32:9,PRON,c',andati noi non c' era un granché,Yes,,,,,,Plur,1,,Prs,,
32:10,VERB,era,noi non c' era un granché mi,,,,,Ind,,Sing,3,,,Imp,Fin
32:11,DET,un,non c' era un granché mi pare,,Ind,,Masc,,,Sing,,,Art,,
32:12,NOUN,granché,c' era un granché mi pare,,,,,,,,,,Ind,,
32:13,PRON,mi,era un granché mi pare,Yes,,,,,,Sing,1,,Prs,,
32:14,VERB,pare,un granché mi pare,,,,,Ind,,Sing,3,,,Pres,Fin
33:1,INTJ,mh,mh non c' era,,,,,,,,,,,,
33:2,ADV,non,mh non c' era niente,,,,,,,,,,Neg,,
33:3,PRON,c',mh non c' era niente,Yes,,,,,,Plur,1,,Prs,,
33:4,VERB,era,mh non c' era niente,,,,,Ind,,Sing,3,,,Imp,Fin
33:5,PRON,niente,non c' era niente,,,,,,,,,,Ind,,
34:1,DET,la,la rapa c' era,,Def,,Fem,,,Sing,,,Art,,
34:2,NOUN,rapa,la rapa c' era,,,,Fem,,,Sing,,,,,
34:3,PRON,c',la rapa c' era,Yes,,,,,,Plur,1,,Prs,,
34:4,VERB,era,la rapa c' era,,,,,Ind,,Sing,3,,,Imp,Fin
35:1,INTJ,sì,sì,,,,,,,,,,,,
36:1,CCONJ,ma,ma roba da banco,,,,,,,,,,,,
36:2,NOUN,roba,ma roba da banco mh,,,,Fem,,,Sing,,,,,
36:3,ADP,da,ma roba da banco mh mh,,,,,,,,,,,,
36:4,NOUN,banco,ma roba da banco mh mh {ride},,,,Masc,,,Sing,,,,,
36:5,INTJ,mh,roba da banco mh mh {ride} non,,,,,,,,,,,,
36:6,INTJ,mh,da banco mh mh {ride} non parli,,,,,,,,,,,,
36:7,X,{ride},banco mh mh {ride} non parli {ride},,,,,,,,,,,,
36:8,ADV,non,mh mh {ride} non parli {ride} così,,,,,,,,,,Neg,,
36:9,VERB,parli,mh {ride} non parli {ride} così,,,,,Sub,,Sing,3,,,Pres,Fin
36:10,X,{ride},{ride} non parli {ride} così,,,,,,,,,,,,
36:11,ADV,così,non parli {ride} così,,,,,,,,,,,,
37:1,ADV,non,non mi trascrivo,,,,,,,,,,Neg,,
37:2,PRON,mi,non mi trascrivo,Yes,,,,,,Sing,1,,Prs,,
37:3,VERB,trascrivo,non mi trascrivo,,,,,Ind,,Sing,1,,,Pres,Fin
38:1,INTJ,no,no,,,,,,,,,,,,
39:1,PRON,c',c' ho la bocca,Yes,,,,,,Plur,1,,Prs,,
39:2,VERB,ho,c' ho la bocca piena,,,,,Ind,,Sing,1,,,Pres,Fin
39:3,DET,la,c' ho la bocca piena,,Def,,Fem,,,Sing,,,Art,,
39:4,NOUN,bocca,c' ho la bocca piena,,,,Fem,,,Sing,,,,,
39:5,ADJ,piena,ho la bocca piena,,,,Fem,,,Sing,,,,,
40:1,DET,l',l' altra volta controllavo,,Def,,,,,Sing,,,Art,,
40:2,ADJ,altra,l' altra volta controllavo di,,,,,,,,,,,,
40:3,NOUN,volta,l' altra volta controllavo di aver,,,,Fem,,,Sing,,,,,
40:4,VERB,controllavo,l' altra volta controllavo di aver lo,,,,,Ind,,Sing,1,,,Imp,Fin
40:5,ADP,di,altra volta controllavo di aver lo avviato,,,,,,,,,,,,
40:6,VERB,aver,volta controllavo di aver lo avviato effetivamente,,,,,,,,,,,,Inf
40:7,PRON,lo,controllavo di aver lo avviato effetivamente perché,Yes,,,Masc,,,Sing,3,,Prs,,
40:8,VERB,avviato,di aver lo avviato effetivamente perché ero,,,,Masc,,,Sing,,,,Past,Part
40:9,ADV,effetivamente,aver lo avviato effetivamente perché ero da,,,,,,,,,,,,
40:10,SCONJ,perché,lo avviato effetivamente perché ero da un,,,,,,,,,,,,
40:11,VERB,ero,avviato effetivamente perché ero da un notaio,,,,,Ind,,Sing,1,,,Imp,Fin
40:12,ADP,da,effetivamente perché ero da un notaio e,,,,,,,,,,,,
40:13,DET,un,perché ero da un notaio e doveva,,Ind,,Masc,,,Sing,,,Art,,
40:14,NOUN,notaio,ero da un notaio e doveva esser,,,,Masc,,,Sing,,,,,
40:15,CCONJ,e,da un notaio e doveva esser ci,,,,,,,,,,,,
40:16,AUX,doveva,un notaio e doveva esser ci anche,,,,,Ind,,Sing,3,,,Imp,Fin
40:17,AUX,esser,notaio e doveva esser ci anche mio,,,,,,,,,,,,Inf
40:18,PRON,ci,e doveva esser ci anche mio babbo,Yes,,,,,,Plur,1,,Prs,,
40:19,ADV,anche,doveva esser ci anche mio babbo ma,,,,,,,,,,,,
40:20,DET,mio,esser ci anche mio babbo ma non,,,,Masc,,,Sing,,Yes,Prs,,
40:21,NOUN,babbo,ci anche mio babbo ma non poteva,,,,Masc,,,Sing,,,,,
40:22,CCONJ,ma,anche mio babbo ma non poteva venire,,,,,,,,,,,,
40:23,ADV,non,mio babbo ma non poteva venire,,,,,,,,,,Neg,,
40:24,AUX,poteva,babbo ma non poteva venire,,,,,Ind,,Sing,3,,,Imp,Fin
40:25,VERB,venire,ma non poteva venire,,,,,,,,,,,,Inf
41:1,CCONJ,quindi,quindi volevo registrare l',,,,,,,,,,,,
41:2,AUX,volevo,quindi volevo registrare l' incontro,,,,,Ind,,Sing,1,,,Imp,Fin
41:3,VERB,registrare,quindi volevo registrare l' incontro,,,,,,,,,,,,Inf
41:4,DET,l',quindi volevo registrare l' incontro,,Def,,,,,Sing,,,Art,,
41:5,NOUN,incontro,volevo registrare l' incontro,,,,Masc,,,Sing,,,,,
42:1,INTJ,mh,mh eh mh niente,,,,,,,,,,,,
42:2,INTJ,eh,mh eh mh niente,,,,,,,,,,,,
42:3,INTJ,mh,mh eh mh niente,,,,,,,,,,,,
42:4,PRON,niente,mh eh mh niente,,,,,,,,,,Ind,,
43:1,NOUN,tipo,tipo ho schiacciato,,,,Masc,,,Sing,,,,,
43:2,AUX,ho,tipo ho schiacciato,,,,,Ind,,Sing,1,,,Pres,Fin
43:3,VERB,schiacciato,tipo ho schiacciato,,,,Masc,,,Sing,,,,Past,Part
44:1,PRON,si,si vede tipo due,Yes,,,,,,,3,,Prs,,
44:2,VERB,vede,si vede tipo due volte,,,,,Ind,,Sing,3,,,Pres,Fin
44:3,NOUN,tipo,si vede tipo due volte velocemente,,,,Masc,,,Sing,,,,,
44:4,DET,due,si vede tipo due volte velocemente,,,,,,Card,,,,,,
44:5,NOUN,volte,vede tipo due volte velocemente,,,,Fem,,,Plur,,,,,
44:6,ADV,velocemente,tipo due volte velocemente,,,,,,,,,,,,
45:1,ADP,a,a la fine di,,,,,,,,,,,,
45:2,DET,la,a la fine di l',,Def,,Fem,,,Sing,,,Art,,
45:3,NOUN,fine,a la fine di l' incontro,,,,Fem,,,Sing,,,,,
45:4,ADP,di,a la fine di l' incontro avevo,,,,,,,,,,,,
45:5,DET,l',la fine di l' incontro avevo tipo,,Def,,,,,Sing,,,Art,,
45:6,NOUN,incontro,fine di l' incontro avevo tipo registrato,,,,Masc,,,Sing,,,,,
45:7,AUX,avevo,di l' incontro avevo tipo registrato x,,,,,Ind,,Sing,1,,,Imp,Fin
45:8,NOUN,tipo,l' incontro avevo tipo registrato x,,,,Masc,,,Sing,,,,,
45:9,VERB,registrato,incontro avevo tipo registrato x,,,,Masc,,,Sing,,,,Past,Part
45:10,X,x,avevo tipo registrato x,,,,,,,,,,,,
46:1,NOUN,tipo,tipo due secondi {ride},,,,Masc,,,Sing,,,,,
46:2,DET,due,tipo due secondi {ride} {ride},,,,,,Card,,,,,,
46:3,NOUN,secondi,tipo due secondi {ride} {ride} {ride},,,,Masc,,,Plur,,,,,
46:4,X,{ride},tipo due secondi {ride} {ride} {ride} si,,,,,,,,,,,,
46:5,X,{ride},due secondi {ride} {ride} {ride} si sentiva,,,,,,,,,,,,
46:6,X,{ride},secondi {ride} {ride} {ride} si sentiva solo,,,,,,,,,,,,
46:7,PRON,si,{ride} {ride} {ride} si sentiva solo pshhh,Yes,,,,,,,3,,Prs,,
46:8,VERB,sentiva,{ride} {ride} si sentiva solo pshhh io,,,,,Ind,,Sing,3,,,Imp,Fin
46:9,ADV,solo,{ride} si sentiva solo pshhh io che,,,,,,,,,,,,
46:10,INTJ,pshhh,si sentiva solo pshhh io che mi,,,,,,,,,,,,
46:11,PRON,io,sentiva solo pshhh io che mi siedo,,,,,,,,,,Rel,,
46:12,PRON,che,solo pshhh io che mi siedo su,,,,,,,,,,Rel,,
46:13,PRON,mi,pshhh io che mi siedo su la,Yes,,,,,,Sing,1,,Prs,,
46:14,VERB,siedo,io che mi siedo su la sedia,,,,,Ind,,Sing,1,,,Pres,Fin
46:15,ADP,su,che mi siedo su la sedia e,,,,,,,,,,,,
46:16,DET,la,mi siedo su la sedia e basta,,Def,,Fem,,,Sing,,,Art,,
46:17,NOUN,sedia,siedo su la sedia e basta {ride},,,,Fem,,,Sing,,,,,
46:18,CCONJ,e,su la sedia e basta {ride},,,,,,,,,,,,
