tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
37	TOI075	60.27	63.5	3.23	True	0	0	0	1	0	0	0	False	False	False	False	False	_	0	0	0	7	che è una traversa di corso @nomeluogo	che è una traversa di corso nomeluogo	che è una traversa di corso nomeluogo
38	TOR002	63.688	65.06	1.372	True	0	0	0	1	0	0	0	False	False	False	False	False	_	0	0	0	5	[noi stavamo] in via @nomeluogo	[noi stavamo] in via nomeluogo	noi stavamo in via nomeluogo
39	TOI075	63.691	64.348	0.657	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[sono stato]	[sono stato]	sono stato
40	TOI075	65.149	67.95	2.801	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	battezzato a maria ausiliatrice	battezzato a maria ausiliatrice	battezzato a maria ausiliatrice
41	TOR001	68.059	68.341	0.282	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mhmh	mhmh	mhmh
42	TOI075	68.341	72.446	4.105	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	8	sapete dov'è la chiesa [(.)] di maria ausiliatrice?	sapete dov'è la chiesa [{P}] di maria ausiliatrice?	sapete dov' è la chiesa {P} di maria ausiliatrice
43	TOR001	70.379	70.611	0.232	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì,]	[sì,]	sì
44	TOI075	73.094	76.199	3.105	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	mio padre anche lui era un torinese DOC	mio padre anche lui era un torinese DOC	mio padre anche lui era un torinese doc
45	TOI075	76.675	80.736	4.061	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	lui è stato battezzato alla chiesa dei santi MARTIRI	lui è stato battezzato alla chiesa dei santi MARTIRI	lui è stato battezzato alla chiesa dei santi martiri
46	TOR001	80.78	81.209	0.429	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	°okay°	°okay°	okay
47	TOI075	81.297	84.799	3.602	True	0	0	0	0	0	0	1	False	False	False	False	False	_	1	0	0	7	era la chiesa principale (.) di via gari[baldi]	era la chiesa principale {P} di via gari[baldi]	era la chiesa principale {P} di via garibaldi
48	TOR001	84.261	84.774	0.513	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
49	TOR001	85.168	85.422	0.254	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mhmh	mhmh	mhmh
50	TOR001	86.9	90.022	3.122	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	9	e com'era allora, (.) il quartiere in cui abitava?	e com'era allora, {P} il quartiere in cui abitava?	e com' era allora {P} il quartiere in cui abitava
51	TOI075	90.576	95.256	4.68	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	1	0	8	mah quando sono nato non ((ride)) non ricordo [(.) esatta]mente.	mah quando sono nato non {ride} non ricordo [{P} esatta]mente.	mah quando sono nato non {ride} non ricordo {P} esattamente
52	TOR001	93.797	95.052	1.255	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[ahah beh certo]	[ahah beh certo]	ahah beh certo
53	TOI075	95.413	99.578	4.165	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	8	poi (.) per un certo periodo mi sono trafserito	poi {P} per un certo periodo mi sono trafserito	poi {P} per un certo periodo mi sono trafserito
54	TOI075	99.912	105.1	5.188	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	12	(nella) zona di piazza maria tere:sa. non (lo) so (.) se ha pre[sente]	(nella) zona di piazza maria tere:sa. non (lo) so {P} se ha pre[sente]	nella zona di piazza maria teresa non lo so {P} se ha presente
55	TOR001	104.695	105.634	0.939	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[no.] dov'è:?	[no.] dov'è:?	no dov' è
56	TOI075	105.657	108.806	3.149	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	e::h questa piazza è praticamente:	e::h questa piazza è praticamente:	eh questa piazza è praticamente
57	TOI075	109.061	111.619	2.658	True	0	0	0	0	0	0	1	False	False	False	False	False	_	0	0	0	6	xxx sa dov'è via giolitti?	xxx sa dov'è via giolitti?	xxx sa dov' è via giolitti
58	TOR001	111.702	111.94	0.238	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì.	sì.	sì
59	TOI075	112.085	114.632	2.547	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	la via che parte da piazza san carlo	la via che parte da piazza san carlo	la via che parte da piazza san carlo
60	TOR002	114.654	114.98	0.326	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mhmh	mhmh	mhmh
61	TOI075	114.983	116.176	1.193	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	va giù verso il po	va giù verso il po	va giù verso il po
62	TOI075	116.479	118.789	2.31	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	prima di arrivare al fondo,	prima di arrivare al fondo,	prima di arrivare al fondo
63	TOI075	119.042	120.192	1.15	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	c'è una piazza,	c'è una piazza,	c' è una piazza
64	TOR001	120.206	120.493	0.287	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mhmh	mhmh	mhmh
65	TOI075	120.624	126.662	6.038	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	12	che si chiama x piazza maria teresa [(.)] considerato un quartiere molto chic.	che si chiama x piazza maria teresa [{P}] considerato un quartiere molto chic.	che si chiama x piazza maria teresa {P} considerato un quartiere molto chic
66	TOR001	123.227	123.603	0.376	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[okay]	[okay]	okay
67	TOR001	127.194	127.581	0.387	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[okay]	[okay]	okay
68	TOI075	127.194	127.581	0.387	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[xx]	[xx]	xx
69	TOI075	127.645	129.258	1.613	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	c'eran tutti i nobili	c'eran tutti i nobili	c' eran tutti i nobili
70	TOR001	129.292	129.502	0.21	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mhmh	mhmh	mhmh
71	TOI075	129.599	131.439	1.84	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	che abitavano in quella zona.	che abitavano in quella zona.	che abitavano in quella zona
72	TOI075	131.694	136.165	4.471	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	mio padre aveva messo un nego~ un negozio, in quella zona lì	mio padre aveva messo un nego~ un negozio, in quella zona lì	mio padre aveva messo un nego~ un negozio in quella zona lì
73	TOI075	136.509	141.138	4.629	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	11	(quindi le:) (.) scuole elementari le ho fatte in quella zona cioè	(quindi le:) {P} scuole elementari le ho fatte in quella zona cioè	quindi le {P} scuole elementari le ho fatte in quella zona cioè
74	TOI075	141.537	144.001	2.464	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	alla scuola niccolò tommaseo	alla scuola niccolò tommaseo	alla scuola niccolò tommaseo
75	TOI075	144.368	146.434	2.066	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	che era in via san massimo.	che era in via san massimo.	che era in via san massimo
76	TOR001	146.651	147.059	0.408	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay.	okay.	okay
77	TOI075	147.107	148.795	1.688	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	sempre in quella zona lì.	sempre in quella zona lì.	sempre in quella zona lì
78	TOR001	149.092	149.992	0.9	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	2	mhmh (.) mhmh	mhmh {P} mhmh	mhmh {P} mhmh
79	TOI075	150.23	151.308	1.078	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	ecco poi::	ecco poi::	ecco poi
80	TOI075	151.864	152.677	0.813	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	dopo::	dopo::	dopo
81	TOI075	153.497	159.945	6.448	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	15	dopo (là) (.) quando è venuta la guerra ne trentanove, mio padre ha ceduto questo negozio,	dopo (là) {P} quando è venuta la guerra ne trentanove, mio padre ha ceduto questo negozio,	dopo là {P} quando è venuta la guerra ne trentanove mio padre ha ceduto questo negozio
82	TOI075	160.385	162.86	2.475	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	e siamo di nuovo tornati a vivere	e siamo di nuovo tornati a vivere	e siamo di nuovo tornati a vivere
83	TOI075	163.098	165.109	2.011	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	praticamente nella zona:	praticamente nella zona:	praticamente nella zona
84	TOI075	165.62	170.195	4.575	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	7	qui con~ (.) come dicevo prima zona [auro]:ra,	qui con~ {P} come dicevo prima zona [auro]:ra,	qui con~ {P} come dicevo prima zona aurora
85	TOR001	169.518	169.816	0.298	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[°okay°]	[°okay°]	okay
86	TOI075	170.694	172.329	1.635	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	3	ma (.) non so	ma {P} non so	ma {P} non so
87	TOI075	172.636	173.155	0.519	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	((ride))	{ride}	{ride}
88	TOI075	173.461	173.677	0.216	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	x	x	x
89	TOI075	173.983	178.552	4.569	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	d::a da allora sono sempre vissuto più o meno in questa zona.	d::a da allora sono sempre vissuto più o meno in questa zona.	da da allora sono sempre vissuto più o meno in questa zona
90	TOR001	178.578	178.922	0.344	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay	okay	okay
91	TOI075	179.193	180.386	1.193	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	cioè la zona	cioè la zona	cioè la zona
92	TOI075	180.802	183.741	2.939	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	praticamente fra corso giulio cesare,	praticamente fra corso giulio cesare,	praticamente fra corso giulio cesare
93	TOI075	184.032	188.789	4.757	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	10	e corso principe oddone. allora c'era (.) la stazione dora,	e corso principe oddone. allora c'era {P} la stazione dora,	e corso principe oddone allora c' era {P} la stazione dora
94	TOI075	189.025	191.042	2.017	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	e ora è stata eliminata	e ora è stata eliminata	e ora è stata eliminata
95	TOI075	191.131	194.16	3.029	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	ecco e adesso c'è piazza baldissera.	ecco e adesso c'è piazza baldissera.	ecco e adesso c' è piazza baldissera
96	TOR001	194.186	194.347	0.161	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
97	TOI075	194.368	194.783	0.415	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	ecco	ecco	ecco
98	TOR001	196.17	199.237	3.067	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	8	e che tipo di abi~ di persone abitavano nel quartiere?	e che tipo di abi~ di persone abitavano nel quartiere?	e che tipo di abi~ di persone abitavano nel quartiere
99	TOI075	200.12	202.861	2.741	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	mah persone normali. non certo:	mah persone normali. non certo:	mah persone normali non certo
100	TOI075	203.537	205.09	1.553	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	2	altolocate perchè	altolocate perché	altolocate perché
101	TOI075	205.447	207.85	2.403	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	a torino il quartiere: diciamo	a torino il quartiere: diciamo	a torino il quartiere diciamo
102	TOI075	208.227	209.696	1.469	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	delle persone più	delle persone più	delle persone più
103	TOI075	210.007	219.58	9.573	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	18	eleganti la crocetta. [xx] avrà sentito (.) xx x noi non c'erano le persone della crocetta. persone norma:li	eleganti la crocetta. [xx] avrà sentito {P} xx x noi non c'erano le persone della crocetta. persone norma:li	eleganti la crocetta xx avrà sentito {P} xx x noi non c' erano le persone della crocetta persone normali
104	TOR001	212.114	212.401	0.287	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
105	TOI075	219.792	223.433	3.641	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	5	operai, artigiani, [(.)] (così nel) genere	operai, artigiani, [{P}] (così nel) genere	operai artigiani {P} così nel genere
106	TOR001	221.825	222.156	0.331	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
107	TOR001	224.111	224.53	0.419	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay.	okay.	okay
108	TOR001	224.926	227.699	2.773	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	e ah lei prima ha accennato alla guerra	e ah lei prima ha accennato alla guerra	e ah lei prima ha accennato alla guerra
109	TOI075	227.719	228.028	0.309	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mh	mh	mh
110	TOR001	228.037	229.562	1.525	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	quanti quanti anni aveva?	quanti quanti anni aveva?	quanti quanti anni aveva
111	TOI075	229.746	233.746	4.0	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	quando è s~ nel millenovecentotrentanove avevo dieci anni.	quando è s~ nel millenovecentotrentanove avevo dieci anni.	quando è s~ nel millenovecentotrentanove avevo dieci anni
112	TOR001	233.977	234.254	0.277	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	°okay°	°okay°	okay
113	TOI075	234.305	238.162	3.857	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	quando è finita nel quarantacinque ne avevo sedici	quando è finita nel quarantacinque ne avevo sedici	quando è finita nel quarantacinque ne avevo sedici
114	TOR001	238.177	238.596	0.419	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay.	okay.	okay
115	TOI075	238.64	238.899	0.259	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mh.	mh.	mh
116	TOR001	238.941	240.767	1.826	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	e che ricordi ha di questo periodo?	e che ricordi ha di questo periodo?	e che ricordi ha di questo periodo
117	TOI075	240.994	244.215	3.221	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	6	e::h non tanto belli eh perchè	e::h non tanto belli eh perché	eh non tanto belli eh perché
118	TOI075	244.588	246.826	2.238	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	(in tutto) c'era il razionamento	(in tutto) c'era il razionamento	in tutto c' era il razionamento
119	TOI075	247.087	248.683	1.596	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	si soffriva la fame,	si soffriva la fame,	si soffriva la fame
120	TOI075	249.029	251.029	2.0	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	poi c'erano i bombardamenti	poi c'erano i bombardamenti	poi c' erano i bombardamenti
121	TOR001	251.039	252.84	1.801	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	in cosa consisteva il razionamento?	in cosa consisteva il razionamento?	in cosa consisteva il razionamento
122	TOI075	253.618	253.949	0.331	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	come?	come?	come
123	TOR001	254.13	256.943	2.813	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	in cos~ cosa: cosa voleva dire avere il raziona[mento?]	in cos~ cosa: cosa voleva dire avere il raziona[mento?]	in cos~ cosa cosa voleva dire avere il razionamento
124	TOI075	256.715	258.715	2.0	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[e::] c'erano delle tessere	[e::] c'erano delle tessere	e c' erano delle tessere
125	TOR001	258.774	259.16	0.386	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mhmh	mhmh	mhmh
126	TOI075	259.207	259.384	0.177	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	x	x	x
127	TOI075	259.767	266.448	6.681	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	15	per esempio (.) (il:) c'era il diritto d'avere duecento grammi al giorno di pane	per esempio {P} (il:) c'era il diritto d'avere duecento grammi al giorno di pane	per esempio {P} il c' era il diritto d' avere duecento grammi al giorno di pane
128	TOI075	266.866	268.584	1.718	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	poi per gli altri generi	poi per gli altri generi	poi per gli altri generi
129	TOI075	269.011	272.182	3.171	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	x cioè magari adesso ne consumano anche meno	x cioè magari adesso ne consumano anche meno	x cioè magari adesso ne consumano anche meno
130	TOR001	271.829	272.138	0.309	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	((ride))	{ride}	{ride}
131	TOI075	272.326	277.685	5.359	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	12	di duecento grammi. ma siccome allora il pane (.) era una parte essenziale	di duecento grammi. ma siccome allora il pane {P} era una parte essenziale	di duecento grammi ma siccome allora il pane {P} era una parte essenziale
132	TOI075	278.038	279.95	1.912	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	era molto importante. poi	era molto importante. poi	era molto importante poi
133	TOI075	280.329	282.932	2.603	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	da duecento grammi erano scesi	da duecento grammi erano scesi	da duecento grammi erano scesi
134	TOI075	283.217	284.571	1.354	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	centocinquanta.	centocinquanta.	centocinquanta
135	TOI075	284.905	285.8	0.895	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	ancora peggio.	ancora peggio.	ancora peggio
136	TOI075	286.394	286.72	0.326	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	e::	e::	e
137	TOI075	287.466	289.582	2.116	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	poi c'era la borsa nera cioè	poi c'era la borsa nera cioè	poi c' era la borsa nera cioè
138	TOI075	289.879	290.078	0.199	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	s~	s~	s~
139	TOI075	290.303	292.8	2.497	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	era l~ la gente per rifornirsi	era l~ la gente per rifornirsi	era l~ la gente per rifornirsi
140	TOI075	293.078	293.841	0.763	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	(andavano)	(andavano)	andavano
141	TOI075	294.146	297.688	3.542	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	8	a fare delle gite (.) nei paesi dei dinto:rni	a fare delle gite {P} nei paesi dei dinto:rni	a fare delle gite {P} nei paesi dei dintorni
142	TOI075	297.835	300.344	2.509	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	si cercava di acquistare qualcosa	si cercava di acquistare qualcosa	si cercava di acquistare qualcosa
143	TOI075	300.571	303.134	2.563	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	lì dai contadini così	lì dai contadini così	lì dai contadini così
144	TOI075	303.757	304.602	0.845	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	2	(quella (.) era)	(quella {P} era)	quella {P} era
145	TOI075	304.75	310.613	5.863	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	16	quella era la borsa nera lì c'erano quelli che lo facevano per (.) per mestiere eh	quella era la borsa nera lì c'erano quelli che lo facevano per {P} per mestiere eh	quella era la borsa nera lì c' erano quelli che lo facevano per {P} per mestiere eh
146	TOR001	310.627	310.909	0.282	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	((ride))	{ride}	{ride}
147	TOR002	310.629	310.911	0.282	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	((ride))	{ride}	{ride}
